Date,World,Canada,China,Finland,Italy,South Korea,United States
12/31/2019,27,0,27,0,0,0,0
1/1/2020,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0
1/3/2020,17,0,17,0,0,0,0
1/4/2020,0,0,0,0,0,0,0
1/5/2020,15,0,15,0,0,0,0
1/6/2020,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0
1/13/2020,1,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0
1/15/2020,1,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0
1/17/2020,5,0,4,0,0,0,0
1/18/2020,17,0,17,0,0,0,0
1/19/2020,136,0,136,0,0,0,0
1/20/2020,20,0,19,0,0,1,0
1/21/2020,153,0,151,0,0,0,1
1/22/2020,142,0,140,0,0,0,0
1/23/2020,97,0,97,0,0,0,0
1/24/2020,266,0,259,0,0,1,0
1/25/2020,453,0,441,0,0,0,1
1/26/2020,673,1,665,0,0,1,0
1/27/2020,797,0,787,0,0,1,3
1/28/2020,1767,1,1753,0,0,0,0
1/29/2020,1480,1,1466,0,0,0,0
1/30/2020,1756,0,1740,1,0,0,0
1/31/2020,2001,0,1980,0,3,3,1
2/1/2020,2122,1,2095,0,0,5,1
2/2/2020,2608,0,2590,0,0,3,1
2/3/2020,2818,0,2812,0,0,0,3
2/4/2020,3243,0,3237,0,0,1,0
2/5/2020,3908,1,3872,0,0,2,0
2/6/2020,3751,0,3727,0,0,5,1
2/7/2020,3218,2,3160,0,0,1,0
2/8/2020,3442,0,3418,0,0,0,0
2/9/2020,2618,0,2607,0,0,1,0
2/10/2020,2992,0,2974,0,0,2,0
2/11/2020,2562,0,2490,0,0,1,1
2/12/2020,2072,0,2028,0,0,0,0
2/13/2020,15151,0,15141,0,0,0,1
2/14/2020,4215,0,4156,0,0,0,1
2/15/2020,2560,1,2538,0,0,0,0
2/16/2020,2162,0,2007,0,0,1,0
2/17/2020,2067,0,2052,0,0,1,0
2/18/2020,1995,0,1890,0,0,1,0
2/19/2020,1864,0,1750,0,0,15,0
2/20/2020,532,0,394,0,0,34,0
2/21/2020,996,1,891,0,0,75,1
2/22/2020,1085,0,826,0,14,190,19
2/23/2020,1009,0,647,0,62,256,0
2/24/2020,523,0,218,0,53,161,0
2/25/2020,793,2,515,0,97,130,18
2/26/2020,867,0,410,0,93,254,0
2/27/2020,1114,1,439,1,78,449,6
2/28/2020,1270,2,329,0,250,427,1
2/29/2020,1856,2,428,1,238,909,6
3/1/2020,1824,4,574,0,240,595,3
3/2/2020,2086,4,205,3,561,686,20
3/3/2020,1854,3,127,0,347,600,14
3/4/2020,2309,3,119,1,466,516,22
3/5/2020,2336,3,117,0,587,438,34
3/6/2020,3059,12,170,5,769,518,74
3/7/2020,4137,6,101,7,778,483,105
3/8/2020,3970,6,46,0,1247,367,95
3/9/2020,4172,5,45,11,1492,248,121
3/10/2020,4762,15,20,10,1797,131,200
3/11/2020,5086,16,29,0,977,242,271
3/12/2020,7838,10,24,19,2313,114,287
3/13/2020,9458,35,22,96,2651,110,351
3/14/2020,10416,38,19,28,2547,107,511
3/15/2020,12231,68,22,27,3497,76,777
3/16/2020,12505,60,25,57,2823,74,823
3/17/2020,14206,120,43,5,4000,84,887
3/18/2020,16935,145,23,47,3526,93,1766
3/19/2020,20197,121,44,50,4207,152,2988
3/20/2020,31080,156,99,31,5322,87,4835
3/21/2020,31922,125,52,50,5986,147,5374
3/22/2020,34208,331,65,71,6557,98,7123
3/23/2020,34402,128,138,105,5560,64,8459
